"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Boophis tephraeomystax","493796.921","132","33",NA,"26","6","LC","LC B1a+B2a","18.6","NT or LC","NT or LC"
"Boophis viridis","23286.769","40","14",NA,"8","3","VU","VU B2a","53.3","VU","NT or LC"
"Boophis vittatus",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Boophis williamsi",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Boophis xerophilus",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Caecilia mertensi",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Cophyla berara",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Cophyla occultans",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Cophyla phyllodactyla",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Dyscophus antongilii",NA,"8","2",NA,"2","0","EN","EN B2a","0","EN",NA
"Dyscophus guineti",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Dyscophus insularis","23379.195","12","3",NA,"3","2","EN","EN B2a","66.7","EN","NT or LC"
"Gephyromantis asper","62440.398","104","28",NA,"13","5","NT","NT B1a+B2a","62.3","NT or LC","NT or LC"
"Gephyromantis azzurrae",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Gephyromantis blanci","124.302","16","4",NA,"2","2","LC","EN B1a+B2a","100","EN","EN"
"Gephyromantis boulengeri","56192.829","56","14",NA,"12","3","NT","NT B1a+B2a","7.9","NT or LC","NT or LC"
"Gephyromantis cornutus","7420.497","36","9",NA,"5","3","EN","EN B2a","77.8","EN","VU"
"Gephyromantis decaryi","7079.429","24","6",NA,"6","2","VU","VU B1a+B2a","37.5","VU","VU"
"Gephyromantis eiselti","28448.986","24","6",NA,"6","3","VU","VU B2a","50","VU","NT or LC"
"Gephyromantis enki","4136.62","32","8",NA,"4","2","EN","EN B1a+B2a","69.2","EN","EN"
"Gephyromantis granulatus","20772.979","24","6",NA,"4","1","EN","EN B2a","42.9","EN","NT or LC"
"Gephyromantis klemmeri",NA,"8","2",NA,"2","1","EN","EN B2a","50","EN",NA
"Gephyromantis leucomaculatus","15724.267","44","11",NA,"4","1","EN","EN B2a","72.7","EN","VU"
"Gephyromantis luteus","83433.889","112","28",NA,"16","8","LC","LC B1a+B2a","29.9","NT or LC","NT or LC"
"Gephyromantis malagasius","37970.233","44","11",NA,"9","3","VU","VU B2a","30.8","VU","NT or LC"
